,Cash,Portfolio_value,AAPL,JNJ,SPY,Daily_Return,Rolling_Max,Drawdown
2022-05-10,9827.71011352539,9827.71011352539,0.0,0.0,0.0,0.0,10138.844146728516,-0.03068732773681289
2022-05-11,9827.71011352539,9827.71011352539,0.0,0.0,0.0,0.0,10138.844146728516,-0.03068732773681289
2022-05-12,9827.71011352539,9827.71011352539,0.0,0.0,0.0,0.0,10138.844146728516,-0.03068732773681289
2022-05-13,9827.71011352539,9827.71011352539,0.0,0.0,0.0,0.0,10138.844146728516,-0.03068732773681289
2022-05-16,9827.71011352539,9827.71011352539,0.0,0.0,0.0,0.0,10138.844146728516,-0.03068732773681289
2022-05-17,9827.71011352539,9827.71011352539,0.0,0.0,0.0,0.0,10138.844146728516,-0.03068732773681289
2022-05-18,9827.71011352539,9827.71011352539,0.0,0.0,0.0,0.0,10138.844146728516,-0.03068732773681289
2022-05-19,9827.71011352539,9827.71011352539,0.0,0.0,0.0,0.0,10138.844146728516,-0.03068732773681289
2022-05-20,9827.71011352539,9827.71011352539,0.0,0.0,0.0,0.0,10138.844146728516,-0.03068732773681289
2022-05-23,9827.71011352539,9827.71011352539,0.0,0.0,0.0,0.0,10138.844146728516,-0.03068732773681289
2022-05-24,9827.71011352539,9827.71011352539,0.0,0.0,0.0,0.0,10138.844146728516,-0.03068732773681289
2022-05-25,8209.485931396484,9827.71011352539,0.0,10.0,0.0,0.0,10138.844146728516,-0.03068732773681289
2022-05-26,8209.485931396484,9826.268920898438,0.0,10.0,0.0,-0.000146645821895941,10138.844146728516,-0.030829473390311092
2022-05-27,8209.485931396484,9840.953369140625,0.0,10.0,0.0,0.0014944073239189226,10138.844146728516,-0.029381137857219214
2022-05-31,4291.365509033203,9826.8994140625,0.0,10.0,10.0,-0.0014281091019285874,10138.844146728516,-0.030767287488748934
2022-06-01,4291.365509033203,9778.810119628906,0.0,10.0,10.0,-0.004893638614513196,10138.844146728516,-0.0355103621171434
2022-06-02,2806.2681579589844,9847.775115966797,10.0,10.0,10.0,0.007052493656611425,10138.844146728516,-0.028708305064107088
2022-06-03,2806.2681579589844,9718.94287109375,10.0,10.0,10.0,-0.013082370723937808,10138.844146728516,-0.0414151030983403
2022-06-06,2806.2681579589844,9738.08822631836,10.0,10.0,10.0,0.001969900994227558,10138.844146728516,-0.039526785756882114
2022-06-07,4412.960510253906,9818.286590576172,10.0,0.0,10.0,0.008235534777870201,10138.844146728516,-0.0316167751977702
2022-06-08,4412.960510253906,9768.0322265625,10.0,0.0,10.0,-0.005118445418155426,10138.844146728516,-0.03657339187777779
2022-06-09,4412.960510253906,9622.98355102539,10.0,0.0,10.0,-0.014849324016629861,10138.844146728516,-0.050879625748027395
2022-06-10,5759.772033691406,9458.42041015625,0.0,0.0,10.0,-0.017101051871963868,10138.844146728516,-0.06711058250084817
2022-06-13,9317.989501953125,9317.989501953125,0.0,0.0,0.0,-0.014847184002556468,10138.844146728516,-0.08096136333649576
2022-06-14,9317.989501953125,9317.989501953125,0.0,0.0,0.0,0.0,10138.844146728516,-0.08096136333649576
2022-06-15,9317.989501953125,9317.989501953125,0.0,0.0,0.0,0.0,10138.844146728516,-0.08096136333649576
2022-06-16,9317.989501953125,9317.989501953125,0.0,0.0,0.0,0.0,10138.844146728516,-0.08096136333649576
2022-06-17,9317.989501953125,9317.989501953125,0.0,0.0,0.0,0.0,10138.844146728516,-0.08096136333649576
2022-06-21,9317.989501953125,9317.989501953125,0.0,0.0,0.0,0.0,10138.844146728516,-0.08096136333649576
2022-06-22,9317.989501953125,9317.989501953125,0.0,0.0,0.0,0.0,10138.844146728516,-0.08096136333649576
2022-06-23,9317.989501953125,9317.989501953125,0.0,0.0,0.0,0.0,10138.844146728516,-0.08096136333649576
2022-06-24,7675.7110595703125,9317.989501953125,0.0,10.0,0.0,0.0,10138.844146728516,-0.08096136333649576
2022-06-27,7675.7110595703125,9316.458129882812,0.0,10.0,0.0,-0.00016434576042301252,10138.844146728516,-0.08111240344009639
2022-06-28,7675.7110595703125,9269.790649414062,0.0,10.0,0.0,-0.0050091440135455745,10138.844146728516,-0.08571524374352565
2022-06-29,7675.7110595703125,9270.241241455078,0.0,10.0,0.0,4.8608653426818194e-05,10138.844146728516,-0.08567080159267546
2022-06-30,7675.7110595703125,9274.926147460938,0.0,10.0,0.0,0.000505370451947762,10138.844146728516,-0.08520872663244726
2022-07-01,6311.221008300781,9293.03451538086,10.0,10.0,0.0,0.0019524002274540209,10138.844146728516,-0.08342268794225151
2022-07-05,6311.221008300781,9306.432189941406,10.0,10.0,0.0,0.0014416899601925603,10138.844146728516,-0.08210126763371764
2022-07-06,6311.221008300781,9321.231231689453,10.0,10.0,0.0,0.0015901949797734183,10138.844146728516,-0.08064162967756835
2022-07-07,2604.314880371094,9356.720428466797,10.0,10.0,10.0,0.0038073507560558717,10138.844146728516,-0.07714130989123502
2022-07-08,2604.314880371094,9358.465881347656,10.0,10.0,10.0,0.00018654537069950905,10138.844146728516,-0.07696915487478548
2022-07-11,2604.314880371094,9295.473175048828,10.0,10.0,10.0,-0.006731093225907814,10138.844146728516,-0.08318216154371173
2022-07-12,2604.314880371094,9250.272521972656,10.0,10.0,10.0,-0.004862652199083439,10138.844146728516,-0.08764032782204008
2022-07-13,2604.314880371094,9223.885498046875,10.0,10.0,10.0,-0.002852567193355915,10138.844146728516,-0.09024289509143593
2022-07-14,2604.314880371094,9246.548309326172,10.0,10.0,10.0,0.0024569701438830194,10138.844146728516,-0.08800764904649011
2022-07-15,4210.016021728516,9355.02212524414,10.0,0.0,10.0,0.011731276611463892,10138.844146728516,-0.07730881450991527
2022-07-18,7849.834442138672,9294.270935058594,10.0,0.0,0.0,-0.006493965420093728,10138.844146728516,-0.08330073916191313
2022-07-19,4111.671905517578,9332.869262695312,10.0,0.0,10.0,0.004152916125042427,10138.844146728516,-0.0794937640197641
2022-07-20,4111.671905517578,9376.730194091797,10.0,0.0,10.0,0.004699619180545289,10138.844146728516,-0.07516773525733984
