,Cash,Portfolio_value,AAPL,JNJ,SPY,Daily_Return,Rolling_Max,Drawdown
2020-04-09,5685.597229003906,10098.523330688477,10.0,10.0,10.0,0.0025639717223855385,10098.523330688477,0.0
2020-04-13,5685.597229003906,10075.42221069336,10.0,10.0,10.0,-0.002287574057972863,10098.523330688477,-0.0022875740579729143
2020-04-14,5685.597229003906,10236.946640014648,10.0,10.0,10.0,0.016031529591867377,10236.946640014648,0.0
2020-04-15,5685.597229003906,10188.884735107422,10.0,10.0,10.0,-0.004694945338423517,10236.946640014648,-0.004694945338423469
2020-04-16,5685.597229003906,10223.78646850586,10.0,10.0,10.0,0.003425471413782688,10236.946640014648,-0.0012855563256867998
2020-04-17,5685.597229003906,10303.853759765625,10.0,10.0,10.0,0.007831471393344502,10303.853759765625,0.0
2020-04-20,5685.597229003906,10240.133514404297,10.0,10.0,10.0,-0.006184117791941279,10303.853759765625,-0.006184117791941326
2020-04-21,5685.597229003906,10123.706588745117,10.0,10.0,10.0,-0.011369668715296322,10303.853759765625,-0.017483475136646883
2020-04-22,5685.597229003906,10226.394882202148,10.0,10.0,10.0,0.010143349430058901,10303.853759765625,-0.007517466704150746
2020-04-23,5685.597229003906,10245.042877197266,10.0,10.0,10.0,0.0018235160298349928,10303.853759765625,-0.005707658895354616
2020-04-24,5685.597229003906,10294.577026367188,10.0,10.0,10.0,0.004834938200226624,10303.853759765625,-0.0009003168731548954
2020-04-27,5685.597229003906,10327.822875976562,10.0,10.0,10.0,0.003229452703517932,10327.822875976562,0.0
2020-04-28,5685.597229003906,10279.905319213867,10.0,10.0,10.0,-0.004639657102771921,10327.822875976562,-0.0046396571027719526
2020-04-29,5685.597229003906,10361.206283569336,10.0,10.0,10.0,0.007908726961085133,10361.206283569336,0.0
2020-04-30,5685.597229003906,10349.021987915039,10.0,10.0,10.0,-0.0011759533900621566,10361.206283569336,-0.0011759533900621755
2020-05-01,5685.597229003906,10251.82601928711,10.0,10.0,10.0,-0.00939180231150627,10361.206283569336,-0.010556711379801437
2020-05-04,5685.597229003906,10268.736190795898,10.0,10.0,10.0,0.0016494789783767505,10361.206283569336,-0.00892464547492654
2020-05-05,5685.597229003906,10313.983612060547,10.0,10.0,10.0,0.004406328142425586,10361.206283569336,-0.004557642249018259
2020-05-06,6944.296493530273,10291.456298828125,10.0,0.0,10.0,-0.002184152513688309,10361.206283569336,-0.0067318401769318635
2020-05-07,6944.296493530273,10330.593566894531,10.0,0.0,10.0,0.003802889205375415,10361.206283569336,-0.0029545514138976203
2020-05-08,6944.296493530273,10391.954040527344,10.0,0.0,10.0,0.005939685191899136,10391.954040527344,0.0
2020-05-11,6944.296493530273,10404.341201782227,10.0,0.0,10.0,0.0011919953847538967,10404.341201782227,0.0
2020-05-12,6944.296493530273,10341.872863769531,10.0,0.0,10.0,-0.006004064726558012,10404.341201782227,-0.006004064726558055
2020-05-13,6944.296493530273,10286.021118164062,10.0,0.0,10.0,-0.0054005445958568155,10404.341201782227,-0.01137218410310268
2020-05-14,6944.296493530273,10321.668701171875,10.0,0.0,10.0,0.0034656338537806253,10404.341201782227,-0.007945962075541126
2020-05-15,6944.296493530273,10329.305038452148,10.0,0.0,10.0,0.0007398355344816476,10404.341201782227,-0.007212005246158661
