,Cash,Portfolio_value,AAPL,JNJ,SPY,Daily_Return,Rolling_Max,Drawdown
2021-08-04,4798.9704513549805,10358.67504119873,10.0,0.0,10.0,-0.0023494087554349896,10383.069114685059,-0.0023494087554350304
2021-08-05,4798.9704513549805,10385.870475769043,10.0,0.0,10.0,0.002625377711160004,10385.870475769043,0.0
2021-08-06,4798.9704513549805,10385.883903503418,10.0,0.0,10.0,1.2928848291959838e-06,10385.883903503418,0.0
2021-08-09,4798.9704513549805,10382.011528015137,10.0,0.0,10.0,-0.0003728498724094864,10385.883903503418,-0.0003728498724095116
2021-08-10,4798.9704513549805,10382.387504577637,10.0,0.0,10.0,3.621423088251419e-05,10385.883903503418,-0.0003366491439984061
2021-08-11,4798.9704513549805,10395.265922546387,10.0,0.0,10.0,0.0012404100658998107,10395.265922546387,0.0
2021-08-12,4798.9704513549805,10437.396202087402,10.0,0.0,10.0,0.0040528332661158295,10437.396202087402,0.0
2021-08-13,4798.9704513549805,10447.06111907959,10.0,0.0,10.0,0.000925989279802808,10447.06111907959,0.0
2021-08-16,6276.9636154174805,10476.683464050293,0.0,0.0,10.0,0.00283547158699049,10476.683464050293,0.0
2021-08-17,6276.9636154174805,10449.15325164795,0.0,0.0,10.0,-0.00262776025416922,10476.683464050293,-0.0026277602541692666
2021-08-18,4845.5244064331055,10403.488273620605,10.0,0.0,10.0,-0.004370208468340908,10476.683464050293,-0.006986484862394629
2021-08-19,4845.5244064331055,10413.202171325684,10.0,0.0,10.0,0.0009337154471265041,10476.683464050293,-0.006059292804105343
2021-08-20,4845.5244064331055,10460.660820007324,10.0,0.0,10.0,0.004557546074763108,10476.683464050293,-0.0015293622354773698
2021-08-23,4845.5244064331055,10512.171440124512,10.0,0.0,10.0,0.004924222379781851,10512.171440124512,0.0
2021-08-24,4845.5244064331055,10517.962303161621,10.0,0.0,10.0,0.0005508722027691704,10517.962303161621,0.0
2021-08-25,3305.9142684936523,10514.471855163574,10.0,10.0,10.0,-0.00033185591442908,10517.962303161621,-0.0003318559144291354
2021-08-26,3305.9142684936523,10473.334159851074,10.0,10.0,10.0,-0.00391248327820648,10517.962303161621,-0.0042430408119196236
2021-08-27,3305.9142684936523,10517.921409606934,10.0,10.0,10.0,0.004257216381654549,10517.962303161621,-3.887973117683422e-06
2021-08-30,4803.4675216674805,10587.18318939209,0.0,10.0,10.0,0.006585120489861485,10587.18318939209,0.0
2021-08-31,4803.4675216674805,10576.20403289795,0.0,10.0,10.0,-0.0010370233798486783,10587.18318939209,-0.0010370233798486907
2021-09-01,4803.4675216674805,10583.849754333496,0.0,10.0,10.0,0.0007229173540681533,10587.18318939209,-0.00031485570797846503
2021-09-02,4803.4675216674805,10607.425346374512,0.0,10.0,10.0,0.002227506303305482,10607.425346374512,0.0
2021-09-03,4803.4675216674805,10607.364768981934,0.0,10.0,10.0,-5.7108478824785536e-06,10607.425346374512,-5.7108478825004985e-06
2021-09-07,4803.4675216674805,10568.107109069824,0.0,10.0,10.0,-0.003700981418769178,10607.425346374512,-0.00370667113090982
2021-09-08,4803.4675216674805,10559.22908782959,0.0,10.0,10.0,-0.0008400767657450459,10607.425346374512,-0.004543634008359509
2021-09-09,3318.290672302246,10507.249717712402,0.0,20.0,10.0,-0.00492264820517041,10607.425346374512,-0.009443915501733716
2021-09-10,1861.3248825073242,10454.547080993652,10.0,20.0,10.0,-0.00501583555494145,10607.425346374512,-0.01441238192952367
2021-09-13,1861.3248825073242,10450.253410339355,10.0,20.0,10.0,-0.00041069886825639834,10607.425346374512,-0.014817161648832691
2021-09-14,1861.3248825073242,10395.95012664795,10.0,20.0,10.0,-0.005196360466979577,10607.425346374512,-0.019936526802787458
2021-09-15,1861.3248825073242,10450.666007995605,10.0,20.0,10.0,0.005263191981597082,10607.425346374512,-0.014778264589199742
2021-09-16,1861.3248825073242,10438.113059997559,10.0,20.0,10.0,-0.0012011624893994988,10607.425346374512,-0.015961675981516286
2021-09-17,432.8202438354492,10362.178764343262,20.0,20.0,10.0,-0.007274714808876981,10607.425346374512,-0.023120274149756075
2021-09-20,432.8202438354492,10215.161247253418,20.0,20.0,10.0,-0.014187896236237285,10607.425346374512,-0.03698014233540327
2021-09-21,432.8202438354492,10233.605766296387,20.0,20.0,10.0,0.0018056023391630482,10607.425346374512,-0.03524131142774358
2021-09-22,432.8202438354492,10310.209770202637,20.0,20.0,10.0,0.007485534000004179,10607.425346374512,-0.028019577462636554
2021-09-23,432.8202438354492,10395.9623336792,20.0,20.0,10.0,0.008317247212990209,10607.425346374512,-0.019935376002206604
2021-09-24,432.8202438354492,10395.767631530762,20.0,20.0,10.0,-1.8728631577147326e-05,10607.425346374512,-0.019953731271471264
2021-09-27,432.8202438354492,10332.44701385498,20.0,20.0,10.0,-0.006090999714511436,10607.425346374512,-0.025923192814504746
2021-09-28,432.8202438354492,10174.323539733887,20.0,20.0,10.0,-0.015303584321222585,10607.425346374512,-0.0408300593686152
2021-09-29,432.8202438354492,10220.585441589355,20.0,20.0,10.0,0.004546926552394526,10607.425346374512,-0.03646878409729967
2021-09-30,432.8202438354492,10099.979667663574,20.0,20.0,10.0,-0.011800280386582873,10607.425346374512,-0.047838722606176644
2021-10-01,432.8202438354492,10152.34447479248,20.0,20.0,10.0,0.0051846448064205575,10607.425346374512,-0.0429021045844619
2021-10-04,432.8202438354492,10008.8090133667,20.0,20.0,10.0,-0.014138159100311132,10607.425346374512,-0.05643370690441977
2021-10-05,432.8202438354492,10095.7474899292,20.0,20.0,10.0,0.008686195974605404,10607.425346374512,-0.048237705167559604
2021-10-06,432.8202438354492,10135.954704284668,20.0,20.0,10.0,0.0039825891441496175,10607.425346374512,-0.04444722698434891
2021-10-07,4567.663993835449,10221.902885437012,20.0,20.0,0.0,0.008479534849934911,10607.425346374512,-0.03634458394461073
2021-10-08,4567.663993835449,10207.027702331543,20.0,20.0,0.0,-0.001455226416469002,10607.425346374512,-0.03774692076242797
2021-10-11,4567.663993835449,10193.249626159668,20.0,20.0,0.0,-0.0013498617397430523,10607.425346374512,-0.03904582937804073
2021-10-12,4567.663993835449,10122.577629089355,20.0,20.0,0.0,-0.006933215575231411,10607.425346374512,-0.045708331800880526
2021-10-13,4567.663993835449,10137.528190612793,20.0,20.0,0.0,0.0014769520245982992,10607.425346374512,-0.0442988887894765
2021-10-14,5973.674430847168,10209.358940124512,10.0,20.0,0.0,0.007085627596896238,10607.425346374512,-0.03752714662149889
2021-10-15,5973.674430847168,10240.951652526855,10.0,20.0,0.0,0.003094485421428317,10607.425346374512,-0.034548788408198645
2021-10-18,7406.971549987793,10236.8217086792,0.0,20.0,0.0,-0.00040327735036593815,10607.425346374512,-0.03493813301471693
2021-10-19,8855.034141540527,10303.096733093262,0.0,10.0,0.0,0.006474179808941161,10607.425346374512,-0.02869014896110165
2021-10-20,8855.034141540527,10302.301597595215,0.0,10.0,0.0,-7.717441839527606e-05,10607.425346374512,-0.02876510923393719
2021-10-21,8855.034141540527,10298.94359588623,0.0,10.0,0.0,-0.00032594674861474715,10607.425346374512,-0.02908168008872356
2021-10-22,8855.034141540527,10301.771354675293,0.0,10.0,0.0,0.00027456784889978714,10607.425346374512,-0.028815097134168147
